latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m (%C),weather_code (wmo code),precipitation (mm),wind_speed_100m (km/h),
2024-10-11T09:00,12.3,1,0,22.3,
2024-10-11T10:00,11.8,0,0,21.4,
2024-10-11T11:00,10.4,0,0,18.9,
2024-10-11T12:00,8.7,0,0,19.2,
2024-10-11T13:00,8,0,0,19.5,
2024-10-11T14:00,7.6,0,0,21.2,
2024-10-11T15:00,7,0,0,20.2,
2024-10-11T16:00,5.8,0,0,16.7,
2024-10-11T17:00,5.1,0,0,14.4,
2024-10-11T18:00,5,0,0,13.2,
2024-10-11T19:00,5,0,0,13.8,
2024-10-11T20:00,4.1,0,0,15,
2024-10-11T21:00,3.5,0,0,15,
2024-10-11T22:00,3.3,0,0,16,
2024-10-11T23:00,2.9,0,0,14.6,
2024-10-12T00:00,2.6,0,0,13.6,
2024-10-12T01:00,3.1,0,0,15.4,
2024-10-12T02:00,5.4,0,0,18.7,
2024-10-12T03:00,8.1,0,0,21.8,
2024-10-12T04:00,10.6,0,0,16.4,
2024-10-12T05:00,12.1,1,0,20.8,
2024-10-12T06:00,12.8,3,0,23.9,
2024-10-12T07:00,13.2,3,0,25.7,
2024-10-12T08:00,13.3,3,0,30.5,
2024-10-12T09:00,13.1,3,0,27.9,
2024-10-12T10:00,12.7,3,0,29.5,
2024-10-12T11:00,11.9,3,0,29.8,
2024-10-12T12:00,11.3,3,0,32.9,
2024-10-12T13:00,10.7,3,0,33.1,
2024-10-12T14:00,10.7,3,0,33.3,
2024-10-12T15:00,10.7,3,0,33.7,
2024-10-12T16:00,9.8,3,0,33.4,
2024-10-12T17:00,10.1,3,0,33.4,
2024-10-12T18:00,10.5,3,0,33.5,
2024-10-12T19:00,10.3,53,0.7,32.4,
2024-10-12T20:00,9.6,3,0,31.5,
2024-10-12T21:00,9.8,3,0,29,
2024-10-12T22:00,9.9,51,0.1,30.2,
2024-10-12T23:00,10.2,55,1,32.3,
2024-10-13T00:00,10.5,53,0.8,33.6,
2024-10-13T01:00,10.1,51,0.3,45.6,
2024-10-13T02:00,9.6,51,0.1,42.2,
2024-10-13T03:00,9.5,51,0.1,50.7,
2024-10-13T04:00,9.8,51,0.3,50.1,
2024-10-13T05:00,9.8,51,0.1,52.3,
2024-10-13T06:00,10.8,1,0,50.2,
2024-10-13T07:00,11.9,51,0.1,50.3,
2024-10-13T08:00,11.7,1,0,46.2,
2024-10-13T09:00,11.4,51,0.1,50.9,
2024-10-13T10:00,11.7,2,0,50,
2024-10-13T11:00,11.5,1,0,52,
2024-10-13T12:00,10.9,1,0,47.3,
2024-10-13T13:00,10.6,2,0,47.1,
2024-10-13T14:00,10.4,1,0,45.7,
2024-10-13T15:00,10,2,0,44.5,
2024-10-13T16:00,9.5,3,0,43.5,
2024-10-13T17:00,9.1,2,0,42.4,
2024-10-13T18:00,8.7,2,0,41.1,
2024-10-13T19:00,8.3,0,0,40.2,
2024-10-13T20:00,8.1,2,0,38.9,
2024-10-13T21:00,7.6,2,0,36.6,
2024-10-13T22:00,7.2,1,0,36.3,
2024-10-13T23:00,7,1,0,36,
2024-10-14T00:00,6.7,1,0,33.3,
2024-10-14T01:00,6.6,2,0,32.2,
2024-10-14T02:00,7.7,3,0,31.9,
2024-10-14T03:00,9,3,0,26.1,
2024-10-14T04:00,10.4,3,0,26.8,
2024-10-14T05:00,11.1,3,0,24.4,
2024-10-14T06:00,11.4,3,0,23.3,
2024-10-14T07:00,11.2,3,0,21.3,
2024-10-14T08:00,11.9,3,0,19.4,
2024-10-14T09:00,11.8,3,0,17.7,
2024-10-14T10:00,11.4,3,0,16.8,
